gene,log2FC,FDR,AveExpr
COL1A2,1.3221439945882665,6.847088497314923e-08,9.365693516077318
PFKFB3,1.3220437786659662,1.2505962904176012e-08,8.949580530438144
SLC2A3,1.3212958294122688,1.0787396514356361e-06,7.921510257762886
COL1A1,1.3185838929989426,6.086636921476201e-08,9.680158552757732
C14orf99,1.317528310988374,2.6629482840386303e-11,13.324864508969073
IGHA1,1.317528310988374,2.6629482840386303e-11,13.324864508969073
IGHV3-23,1.317528310988374,2.6629482840386303e-11,13.324864508969073
IGLJ3,1.317528310988374,2.6629482840386303e-11,13.324864508969073
SCFV,1.317528310988374,2.6629482840386303e-11,13.324864508969073
IGHV3-69-1,1.317528310988374,2.6629482840386303e-11,13.324864508969073
IGK,1.317528310988374,2.6629482840386303e-11,13.324864508969073
IGHG1,1.317528310988374,2.6629482840386303e-11,13.324864508969073
IGHV3-48,1.317528310988374,2.6629482840386303e-11,13.324864508969073
IGHV3OR16-7,1.317528310988374,2.6629482840386303e-11,13.324864508969073
IGHV4-31,1.317528310988374,2.6629482840386303e-11,13.324864508969073
IGKV3-20,1.317528310988374,2.6629482840386303e-11,13.324864508969073
IGHM,1.317528310988374,2.6629482840386303e-11,13.324864508969073
BGN,1.3140498546543329,3.1355939618208225e-06,9.079383409891753
CXCR2,1.3125663039815016,9.455557904886079e-06,5.915184259742268
TFF1,1.3119062093298126,3.14488277586704e-07,10.322244012412371
ANGPTL2,1.3052590991279,1.0135367688487533e-07,8.088447693530927
C4A,1.3048248576379455,5.0264114179618095e-09,8.036896031103092
C4B,1.3048248576379455,5.0264114179618095e-09,8.036896031103092
C4B_2,1.3048248576379455,5.0264114179618095e-09,8.036896031103092
FCGR1A,1.3041106752933436,2.7631807472317654e-06,6.270686637190721
FCGR1CP,1.3041106752933436,2.7631807472317654e-06,6.270686637190721
FCGR1B,1.3041106752933436,2.7631807472317654e-06,6.270686637190721
RAB31,1.3040392377103611,4.097946606854426e-07,9.458739025458764
TDO2,1.298611015713,0.0004477648580522715,6.184786671891753
IER3,1.2982955856469296,5.769290210957934e-08,9.41546971615464
ADGRF1,1.2924141267854097,4.709838563135171e-05,6.736725916809277
TRIB2,1.2917819423007417,5.580611968808847e-12,7.642168071757733
INHBA,1.2897866005850984,9.015432971308216e-05,7.18245619263402
ALPL,1.2875046312240963,2.164901554215877e-07,7.644812217530928
C3,1.2866492632373205,5.458934346675875e-05,9.50493920335567
STC1,1.2822933360343534,6.34039406699556e-05,6.513784255551547
TGM2,1.27737014988689,1.1414018215035061e-07,10.450520042273196
FPR1,1.272287194369448,5.096298846376785e-06,6.7375285138917524
SLAMF7,1.2688136136960901,4.879909047228434e-06,7.877103998474226
